K,num_threads,mean
3,1,0.023968
3,2,0.017355
3,3,0.015078
3,4,0.012805
3,5,0.012171
3,6,0.011753
3,7,0.011423
3,8,0.011393
3,9,0.011222
3,10,0.011088
3,11,0.011260
3,12,0.011283
3,13,0.011209
3,14,0.011184
3,15,0.011117
3,16,0.011028
3,17,0.010973
3,18,0.010930
3,19,0.010880
3,20,0.010854
3,21,0.011023
3,22,0.011059
3,23,0.011040
3,24,0.012380
3,25,0.012932
3,26,0.012584
3,27,0.012649
3,28,0.012648
3,29,0.012585
3,30,0.011991
3,31,0.010611
3,32,0.010563
3,33,0.010549
3,34,0.010550
3,35,0.010574
3,36,0.010664
3,37,0.010480
3,38,0.012260
3,39,0.012234
3,40,0.012223
4,1,0.033386
4,2,0.023795
4,3,0.020302
4,4,0.018940
4,5,0.017912
4,6,0.017245
4,7,0.017078
4,8,0.016479
4,9,0.016243
4,10,0.015970
4,11,0.015998
4,12,0.015733
4,13,0.015649
4,14,0.015630
4,15,0.015706
4,16,0.015347
4,17,0.015217
4,18,0.015124
4,19,0.015035
4,20,0.015314
4,21,0.015078
4,22,0.015031
4,23,0.015124
4,24,0.014941
4,25,0.014921
4,26,0.014900
4,27,0.014797
4,28,0.015420
4,29,0.016924
4,30,0.016888
4,31,0.016727
4,32,0.016699
4,33,0.016639
4,34,0.016612
4,35,0.016552
4,36,0.016520
4,37,0.016666
4,38,0.016438
4,39,0.016372
4,40,0.016416
8,1,0.075451
8,2,0.055922
8,3,0.049752
8,4,0.046919
8,5,0.045161
8,6,0.044017
8,7,0.043111
8,8,0.041823
8,9,0.041148
8,10,0.040750
8,11,0.042437
8,12,0.042685
8,13,0.041963
8,14,0.042623
8,15,0.042393
8,16,0.042407
8,17,0.042409
8,18,0.042524
8,19,0.042203
8,20,0.042527
8,21,0.042822
8,22,0.042382
8,23,0.042680
8,24,0.041195
8,25,0.037936
8,26,0.037916
8,27,0.037616
8,28,0.037489
8,29,0.037330
8,30,0.037184
8,31,0.037107
8,32,0.036992
8,33,0.036981
8,34,0.036728
8,35,0.036661
8,36,0.036503
8,37,0.036365
8,38,0.036195
8,39,0.036354
8,40,0.036598
12,1,0.112850
12,2,0.086953
12,3,0.079479
12,4,0.072265
12,5,0.069008
12,6,0.065010
12,7,0.063661
12,8,0.061690
12,9,0.061280
12,10,0.061187
12,11,0.060866
12,12,0.061149
12,13,0.060909
12,14,0.059074
12,15,0.059712
12,16,0.059108
12,17,0.058903
12,18,0.058813
12,19,0.061712
12,20,0.061873
12,21,0.059792
12,22,0.056827
12,23,0.056677
12,24,0.056738
12,25,0.058987
12,26,0.058824
12,27,0.058798
12,28,0.058300
12,29,0.058061
12,30,0.057903
12,31,0.057654
12,32,0.055100
12,33,0.057460
12,34,0.057472
12,35,0.057527
12,36,0.057738
12,37,0.057100
12,38,0.057141
12,39,0.056737
12,40,0.057036
16,1,0.149907
16,2,0.115722
16,3,0.104968
16,4,0.096697
16,5,0.092556
16,6,0.089945
16,7,0.087690
16,8,0.086095
16,9,0.084762
16,10,0.092124
16,11,0.091558
16,12,0.082925
16,13,0.081878
16,14,0.081346
16,15,0.080486
16,16,0.080120
16,17,0.080310
16,18,0.080705
16,19,0.080246
16,20,0.079814
16,21,0.078165
16,22,0.078267
16,23,0.077287
16,24,0.077485
16,25,0.076974
16,26,0.076649
16,27,0.076257
16,28,0.076567
16,29,0.079286
16,30,0.088681
16,31,0.092871
16,32,0.092536
16,33,0.090005
16,34,0.087094
16,35,0.090718
16,36,0.090688
16,37,0.088132
16,38,0.079275
16,39,0.077672
16,40,0.077975
32,1,0.297309
32,2,0.238365
32,3,0.211447
32,4,0.197758
32,5,0.188878
32,6,0.200253
32,7,0.189384
32,8,0.178924
32,9,0.180272
32,10,0.195735
32,11,0.198991
32,12,0.169258
32,13,0.179265
32,14,0.167445
32,15,0.177845
32,16,0.168389
32,17,0.161162
32,18,0.160251
32,19,0.160421
32,20,0.188819
32,21,0.188916
32,22,0.184230
32,23,0.161482
32,24,0.154434
32,25,0.153466
32,26,0.156170
32,27,0.155802
32,28,0.155706
32,29,0.155460
32,30,0.155633
32,31,0.155505
32,32,0.155011
32,33,0.158704
32,34,0.158775
32,35,0.154882
32,36,0.157291
32,37,0.157171
32,38,0.156890
32,39,0.157036
32,40,0.157171
64,1,0.617604
64,2,0.497811
64,3,0.445290
64,4,0.418586
64,5,0.408370
64,6,0.400187
64,7,0.392823
64,8,0.368480
64,9,0.373915
64,10,0.361566
64,11,0.353873
64,12,0.366102
64,13,0.348407
64,14,0.341173
64,15,0.338606
64,16,0.338476
64,17,0.337496
64,18,0.335722
64,19,0.334598
64,20,0.332992
64,21,0.406116
64,22,0.355073
64,23,0.324139
64,24,0.326194
64,25,0.322076
64,26,0.321506
64,27,0.324479
64,28,0.319790
64,29,0.331801
64,30,0.326897
64,31,0.324318
64,32,0.324888
64,33,0.325370
64,34,0.324151
64,35,0.323232
64,36,0.329085
64,37,0.328728
64,38,0.326651
64,39,0.326688
64,40,0.327079
